date,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,year,month,day,hour
2017-03-24 11:00:00,110000,2047.78,2052.9,2044.69,2047.8,2081137796,2017,3,24,11
2017-03-24 12:00:00,120000,2047.9,2048.26,2036.69,2038.64,3214254343,2017,3,24,12
2017-03-24 13:00:00,130000,2038.64,2048.55,2038.4,2045.7,1999725750,2017,3,24,13
2017-03-24 14:00:00,140000,2045.7,2049.94,2039.36,2041.3,2528777670,2017,3,24,14
2017-03-24 15:00:00,150000,2041.24,2045.63,2038.06,2041.9,1389214050,2017,3,24,15
2017-03-24 16:00:00,160000,2041.92,2044.21,2040.51,2043.28,1652951792,2017,3,24,16
2017-03-24 17:00:00,170000,2043.29,2047.6,2042.0,2042.2,3473317689,2017,3,24,17
2017-03-24 18:00:00,180000,2041.98,2043.8,2040.69,2041.66,1739180658,2017,3,24,18
2017-03-24 19:00:00,190000,2041.79,2041.9,2036.3,2039.77,3154782110,2017,3,24,19
2017-03-27 11:00:00,110000,2034.1,2034.1,2009.24,2011.49,6365508270,2017,3,27,11
2017-03-27 12:00:00,120000,2011.22,2013.0,2006.08,2011.18,3164318243,2017,3,27,12
2017-03-27 13:00:00,130000,2011.1,2011.39,2003.54,2004.8,2250587500,2017,3,27,13
2017-03-27 14:00:00,140000,2004.77,2004.77,2000.53,2001.98,1963093849,2017,3,27,14
2017-03-27 15:00:00,150000,2001.93,2006.01,1997.92,2003.65,2067254271,2017,3,27,15
2017-03-27 16:00:00,160000,2003.56,2004.38,2000.43,2002.19,1643397023,2017,3,27,16
2017-03-27 17:00:00,170000,2002.22,2006.1,1998.76,2005.38,1999953577,2017,3,27,17
2017-03-27 18:00:00,180000,2005.37,2010.98,2004.19,2008.99,2944753669,2017,3,27,18
2017-03-27 19:00:00,190000,2008.99,2017.25,2008.86,2013.16,3520973921,2017,3,27,19
2017-03-28 11:00:00,110000,2016.95,2024.63,2012.06,2016.23,5088510547,2017,3,28,11
2017-03-28 12:00:00,120000,2016.22,2021.1,2010.92,2019.78,3046503414,2017,3,28,12
2017-03-28 13:00:00,130000,2019.89,2025.76,2019.72,2023.28,2336565200,2017,3,28,13
2017-03-28 14:00:00,140000,2023.28,2023.89,2020.15,2022.87,1153308692,2017,3,28,14
2017-03-28 15:00:00,150000,2022.87,2027.63,2017.17,2026.62,1921994726,2017,3,28,15
2017-03-28 16:00:00,160000,2026.57,2030.13,2023.94,2025.75,2387826083,2017,3,28,16
2017-03-28 17:00:00,170000,2025.82,2029.46,2017.43,2021.05,2387097205,2017,3,28,17
2017-03-28 18:00:00,180000,2021.31,2023.38,2016.05,2020.42,2629938744,2017,3,28,18
2017-03-28 19:00:00,190000,2020.41,2032.54,2019.72,2032.54,4117692233,2017,3,28,19
2017-03-29 11:00:00,110000,2032.49,2037.58,2029.83,2035.16,3522619317,2017,3,29,11
2017-03-29 12:00:00,120000,2035.18,2037.42,2028.94,2029.1,2191491884,2017,3,29,12
2017-03-29 13:00:00,130000,2029.09,2034.88,2024.74,2025.99,1946345162,2017,3,29,13
2017-03-29 14:00:00,140000,2025.94,2026.45,2021.55,2023.29,1508204979,2017,3,29,14
2017-03-29 15:00:00,150000,2023.29,2024.05,2019.31,2020.61,1180911836,2017,3,29,15
2017-03-29 16:00:00,160000,2020.69,2023.57,2020.43,2021.84,1832658572,2017,3,29,16
2017-03-29 17:00:00,170000,2021.79,2022.67,2016.73,2020.5,2779025002,2017,3,29,17
2017-03-29 18:00:00,180000,2020.86,2022.26,2013.13,2022.25,3471649347,2017,3,29,18
2017-03-29 19:00:00,190000,2022.25,2026.59,2019.41,2023.71,3068628689,2017,3,29,19
2017-03-30 11:00:00,110000,2025.0,2026.3,2018.11,2022.47,4773309073,2017,3,30,11
2017-03-30 12:00:00,120000,2022.49,2026.52,2021.0,2021.0,3147303073,2017,3,30,12
2017-03-30 13:00:00,130000,2020.96,2023.16,2017.36,2019.61,1762543644,2017,3,30,13
2017-03-30 14:00:00,140000,2019.72,2019.77,2013.08,2015.55,1890673448,2017,3,30,14
2017-03-30 15:00:00,150000,2015.56,2018.2,2013.62,2013.63,2018567284,2017,3,30,15
2017-03-30 16:00:00,160000,2013.63,2024.26,2012.07,2024.18,2802162408,2017,3,30,16
2017-03-30 17:00:00,170000,2024.22,2026.94,2021.54,2022.36,2812115449,2017,3,30,17
2017-03-30 18:00:00,180000,2022.33,2025.54,2017.76,2022.59,2731005524,2017,3,30,18
2017-03-30 19:00:00,190000,2022.56,2023.83,2019.44,2021.88,2882930654,2017,3,30,19
2017-03-31 11:00:00,110000,2021.16,2022.24,2007.13,2007.17,3963722948,2017,3,31,11
2017-03-31 12:00:00,120000,2007.26,2011.02,2004.8,2007.65,2394526312,2017,3,31,12
2017-03-31 13:00:00,130000,2007.47,2013.28,2004.03,2011.67,1909749208,2017,3,31,13
2017-03-31 14:00:00,140000,2011.66,2013.36,2005.21,2007.39,1849244112,2017,3,31,14
2017-03-31 15:00:00,150000,2007.54,2007.92,2000.96,2003.32,1833615494,2017,3,31,15
2017-03-31 16:00:00,160000,2003.33,2004.35,1999.54,1999.72,1543442662,2017,3,31,16
2017-03-31 17:00:00,170000,1999.73,2003.07,1997.97,2002.11,2312719063,2017,3,31,17
2017-03-31 18:00:00,180000,2002.1,2002.88,1996.64,1997.05,3698103572,2017,3,31,18
2017-03-31 19:00:00,190000,1997.07,1999.5,1992.95,1995.9,3225567425,2017,3,31,19
2017-04-03 11:00:00,110000,1998.79,2002.97,1992.67,1999.21,3799641303,2017,4,3,11
